"id","authors_eng","book_authors","group_authors","book_group_authors","researcherid","orcid","editors","Z2","title","X1","Y1","Z1","FT","part_patent","AE","Z3","source_title","S1","book_series_title","book_series_subtitle","volume","issue","special_issue","meeting_abstract_number","start_page","ending_page","article_number","doi","book_doi","supplement","pub_date","pub_year","abstract","X4","Y4","Z4","AK","conference_title","conference_date","conference_sponsor","conference_location","cited_wos_core","Z8","ZR","ZB","ZS","Z9","usage_last_180","usage_2013","issn","eissn","isbn","accession_num","pubmed_id","pub_type","sig_fault","diff_time","orig_article_journal","orig_article_year_volume","orig_article_issue","orig_article_page","orig_article_link","orig_article_animal","orig_article_methods_used","orig_article_main_q","orig_article_type_of_state_manipulation","orig_article_within_between_ss","orig_article_dependent_variable","orig_article_country_authors","orig_article_seriousness_of_mistake"
"6","Ewell, Laura A.; Leutgeb, Stefan",NA,NA,NA,NA,NA,NA,NA,"Replay to remember: a boost from dopamine",NA,NA,NA,NA,NA,NA,NA,"NATURE NEUROSCIENCE",NA,NA,NA,"17","12",NA,NA,"1629","1631",NA,NA,NA,NA,"41974","2014","A study links transient activation of the brain's reward system during a novel experience to frequent reactivation of memory traces during sleep and shows that artificial activation of the reward circuit can strengthen memories.",NA,NA,NA,NA,NA,NA,NA,NA,"0","0","0","0","0","0",NA,NA,"1097-6256","1546-1726",NA,"WOS:000345484000005","25413087","J",1,3,"NN","2010 (13)","","995","","rats","","YES","injection of NMDAR antagonist vs drug-free","between","correlation between memory performance and cell synchrony","UK","potentially serious (vergelijking sign en nonsign correlaties)"
"84","Padmashri, Ragunathan; Reiner, Benjamin C.; Suresh, Anand; Spartz, Elizabeth; Dunaevsky, Anna",NA,NA,NA,NA,NA,NA,NA,"Altered Structural and Functional Synaptic Plasticity with Motor Skill Learning in a Mouse Model of Fragile X Syndrome",NA,NA,NA,NA,NA,NA,NA,"JOURNAL OF NEUROSCIENCE",NA,NA,NA,"33","50",NA,NA,"19715","19723",NA,"10.1523/JNEUROSCI.2514-13.2013",NA,NA,"DEC 11 2013","2013","Fragile X syndrome (FXS) is the most common inherited intellectual disability. FXS results from a mutation that causes silencing of the FMR1 gene, which encodes the fragile X mental retardation protein. Patients with FXS exhibit a range of neurological deficits, including motor skill deficits. Here, we have investigated motor skill learning and its synaptic correlates in the fmr1 knock-out (KO) mouse. We find that fmr1 KO mice have impaired motor skill learning of a forelimb-reaching task, compared with their wild-type (WT) littermate controls. Electrophysiological recordings from the forelimb region of the primary motor cortex demonstrated reduced, training-induced synaptic strengthening in the trained hemisphere. Moreover, long-term potentiation (LTP) is impaired in the fmr1 KO mouse, and motor skill training does not occlude LTP as it does in the WT mice. Whereas motor skill training induces an increase of synaptic AMPA-type glutamate receptor subunit 1 (GluA1), there is a delay in GluA1 increase in the trained hemisphere of the fmr1 KO mice. Using transcranial in vivo multiphoton microscopy, we find that fmr1 KO mice have similar spine density but increased dendritic spine turnover compared with WT mice. Finally, we report that motor skill training-induced formation of dendritic spines is impaired in fmr1 KO mice. We conclude that FMRP plays a role in motor skill learning and that reduced functional and structural synaptic plasticity might underlie the behavioral deficit in the fmr1 KO mouse.",NA,NA,NA,NA,NA,NA,NA,NA,"16","1","0","16","0","17",NA,NA,"0270-6474",NA,NA,"WOS:000328626800031","24336735","J",1,2,"Nature","2009","17-Dec","916","8389","mice","training-induced spine formation and elimination","YES","training/nontraining effects in ipsi vs. contralateral motor cortex","between","percentage of spine formation and elimination","US","potentially serious: probably still significant but much less so"
"100","D'Argembeau, Arnaud; Jedidi, Haroun; Balteau, Evelyne; Bahri, Mohamed; Phillips, Christophe; Salmon, Eric",NA,NA,NA,NA,"Phillips, Christophe/0000-0002-4990-425X",NA,NA,"Valuing One's Self: Medial Prefrontal Involvement in Epistemic and Emotive Investments in Self-views",NA,NA,NA,NA,NA,NA,NA,"CEREBRAL CORTEX",NA,NA,NA,"22","3",NA,NA,"659","667",NA,"10.1093/cercor/bhr144",NA,NA,"40969","2012","Recent neuroimaging research has revealed that the medial prefrontal cortex (MPFC) is consistently engaged when people form mental representations of themselves. However, the precise function of this region in self-representation is not yet fully understood. Here, we investigate whether the MPFC contributes to epistemic and emotive investments in self-views, which are essential components of the self-concept that stabilize self-views and shape how one feels about oneself. Using functional magnetic resonance imaging, we show that the level of activity in the MPFC when people think about their personal traits (by judging trait adjectives for self-descriptiveness) depends on their investments in the particular self-view under consideration, as assessed by postscan rating scales. Furthermore, different forms of investments are associated with partly distinct medial prefrontal areas: a region of the dorsal MPFC is uniquely related to the degree of certainty with which a particular self-view is held (one's epistemic investment), whereas a region of the ventral MPFC responds specifically to the importance attached to this self-view (one's emotive investment). These findings provide new insight into the role of the MPFC in self-representation and suggest that the ventral MPFC confers degrees of value upon the particular conception of the self that people construct at a given moment.",NA,NA,NA,NA,NA,NA,NA,NA,"34","0","0","20","0","35",NA,NA,"1047-3211",NA,NA,"WOS:000300495800015","21680845","J",1,1,"Science","2009","01-May","647","5927","human","BOLD","YES","self-control vs. non self-control","between","BOLD beta's","US","data suggest: not serious"
"42","Dymond, Simon; Dunsmoor, Joseph E.; Vervliet, Bram; Roche, Bryan; Hermans, Dirk",NA,NA,NA,NA,NA,NA,NA,"Fear Generalization in Humans: Systematic Review and Implications for Anxiety Disorder Research",NA,NA,NA,NA,NA,NA,NA,"BEHAVIOR THERAPY",NA,NA,NA,"46","5","SI",NA,"561","582",NA,NA,NA,NA,"42248","2015","Fear generalization, in which conditioned fear responses generalize or spread to related stimuli, is a defining feature of anxiety disorders. The behavioral consequences of maladaptive fear generalization are that aversive experiences with one stimulus or event may lead one to regard other cues or situations as potential threats that should be avoided, despite variations in physical form. Theoretical and empirical interest in the generalization of conditioned learning dates to the earliest research on classical conditioning in nonhumans. Recently, there has been renewed focus on fear generalization in humans due in part to its explanatory power in characterizing disorders of fear and anxiety. Here, we review existing behavioral and neuroimaging empirical research on the perceptual and non-perceptual (conceptual and symbolic) generalization of fear and avoidance in healthy humans and patients with anxiety disorders. The clinical implications of this research for understanding the etiology and treatment of anxiety is considered and directions for future research described.",NA,NA,NA,NA,NA,NA,NA,NA,"4","0","0","2","0","4",NA,NA,"0005-7894","1878-1888",NA,"WOS:000364355200002","26459838","J",1,4,"Science","2010","12-Feb","863","http://www.sciencemag.org/content/327/5967/863.full.pdf","human ","human, mice, polymorphisms, behavior","YES","early vs late trials","within","behavior","US","potentially serious: relevant info is missing"
"97","Marinelli, M.; Mccutcheon, J. E.",NA,NA,NA,NA,NA,NA,NA,"HETEROGENEITY OF DOPAMINE NEURON ACTIVITY ACROSS TRAITS AND STATES",NA,NA,NA,NA,NA,NA,NA,"NEUROSCIENCE",NA,NA,NA,"282",NA,NA,NA,"176","197",NA,"10.1016/j.neuroscience.2014.07.034",NA,NA,"DEC 12 2014","2014","Midbrain dopamine neurons fire irregularly, with interspersed clusters of high-frequency spikes, commonly called 'bursts'. In this review we examine such heterogeneity in activity, and provide insight into how it can participate in psychiatric conditions such as drug addiction. We first describe several techniques used to evaluate dopamine neuron activity, and comment on the different measures that each provides. We next describe the activity of dopamine neurons in 'basal' conditions. Specifically, we discuss how the use of anesthesia and reduced preparations may alter aspects of dopamine cell activity, and how there is heterogeneity across species and regions. We also describe how dopamine cell firing changes throughout the peri-adolescent period and how dopamine neuron activity differs across the population. In the final section, we discuss how dopamine neuron activity changes in response to life events. First, we focus attention on drugs of abuse. Drugs themselves change firing activity through a variety of mechanisms, with effects on firing while drug is present differing from those seen after drug discontinuation. We then review how stimuli that are rewarding, aversive, or salient can evoke changes in firing rate and discharge pattern of dopamine neurons, and provide behavioral relevance of dopamine signaling. Finally, we discuss how stress can modulate dopamine neuron firing and how this may contribute to the role that stressful experiences play in psychiatric disorders such as addiction and depression.This article is part of a Special Issue entitled: Ventral Tegmentum & Dopamine. (C) 2014 IBRO. Published by Elsevier Ltd. All rights reserved.",NA,NA,NA,NA,NA,NA,NA,NA,"12","0","0","10","0","12",NA,NA,"0306-4522","1873-7544",NA,"WOS:000345512600013",NA,"J",1,3,"Science","2009","22-May","1083","5930","mice","optogenetic tools, DA neurons","YES","phasic vs. tonic","between","behavioral","US ","potentially serious"
"126","Mincic, Adina M.",NA,NA,NA,NA,NA,NA,NA,"Neuroanatomical correlates of negative emotionality-related traits: A systematic review and meta-analysis",NA,NA,NA,NA,NA,NA,NA,"NEUROPSYCHOLOGIA",NA,NA,NA,"77",NA,NA,NA,"97","118",NA,"10.1016/j.neuropsychologia.2015.08.007",NA,NA,"42278","2015","Two central traits present in the most influential models of personality characterize the response to positive and, respectively, negative emotional events. Negative emotionality (NE)-related traits are linked to vulnerability to mood and anxiety disorders; this has fuelled a special interest in examining stable differences in brain morphology associated to these traits. Structural imaging methods including voxel-based morphometry, cortical thickness analysis and diffusion tensor imaging (DTI) have yielded inconclusive and sometimes contradictory results. This review summarizes the findings reported to date through these methods and discusses them in relation to the functional imaging results. To detect topographic convergence between studies showing positive and, respectively, negative grey matter associations with NE-traits, activation likelihood estimation (ALE) meta-analyses of VBM studies were performed. Individuals scoring high on NE-related traits show consistent morphological differences in a left-lateralized circuit: higher grey matter volume (GMV) in amygdala and anterior parahippocampal gyrus and lower GMV in the orbitofrontal cortex extending into perigenual anterior cingulate cortex. Most DTI studies indicate reduced white matter integrity in various brain regions and tracts, particularly in the uncinate fasciculus and in cingulum bundle. These results show that the behavioural phenotype associated to NE traits is reflected in structural differences within the cortico-limbic system, suggesting alterations in information processing and transmission. The results are discussed from the perspective of neuron-glia interactions. Future directions are outlined based on recent developments in structural imaging techniques. (C) 2015 Elsevier Ltd. All rights reserved.",NA,NA,NA,NA,NA,NA,NA,NA,"1","0","0","0","0","1",NA,NA,"0028-3932","1873-3514",NA,"WOS:000363815500010","26265397","J",1,4,"JoN","2009","16-Sep","11615","37","humans","amygdala, fear","YES","fearful vs neutral faces","within","DTI","US","unclear"
"42","Hait, Nitai C.; Wise, Laura E.; Allegood, Jeremy C.; O'Brien, Megan; Avni, Dorit; Reeves, Thomas M.; Knapp, Pamela E.; Lu, Junyan; Luo, Cheng; Miles, Michael F.; Milstien, Sheldon; Lichtman, Aron H.; Spiegel, Sarah",NA,NA,NA,NA,"Lu, Junyan/0000-0002-9211-0746",NA,NA,"Active, phosphorylated fingolimod inhibits histone deacetylases and facilitates fear extinction memory",NA,NA,NA,NA,NA,NA,NA,"NATURE NEUROSCIENCE",NA,NA,NA,"17","7",NA,NA,"971","980",NA,"10.1038/nn.3728",NA,NA,"41821","2014","FTY720 (fingolimod), an FDA-approved drug for treatment of multiple sclerosis, has beneficial effects in the CNS that are not yet well understood, independent of its effects on immune cell trafficking. We show that FTY720 enters the nucleus, where it is phosphorylated by sphingosine kinase 2 (SphK2), and that nuclear FTY720-P binds and inhibits class I histone deacetylases (HDACs), enhancing specific histone acetylations. FTY720 is also phosphorylated in mice and accumulates in the brain, including the hippocampus, inhibits HDACs and enhances histone acetylation and gene expression programs associated with memory and learning, and rescues memory deficits independently of its immunosuppressive actions. Sphk2(-/-) mice have lower levels of hippocampal sphingosine-l-phosphate, an endogenous HDAC inhibitor, and reduced histone acetylation, and display deficits in spatial memory and impaired contextual fear extinction. Thus, sphingosine-l-phosphate and SphK2 play specific roles in memory functions and FTY720 may be a useful adjuvant therapy to facilitate extinction of aversive memories.",NA,NA,NA,NA,NA,NA,NA,NA,"24","0","0","23","0","24",NA,NA,"1097-6256","1546-1726",NA,"WOS:000338097200014","24859201","J",1,3,"Science","2010","12-Feb","863","http://www.sciencemag.org/content/327/5967/863.full.pdf","human ","human, mice, polymorphisms, behavior","YES","early vs late trials","within","behavior","US","potentially serious: relevant info is missing"
"85","Fauth, Michael; Woergoetter, Florentin; Tetzlaff, Christian",NA,NA,NA,NA,NA,NA,NA,"Formation and Maintenance of Robust Long-Term Information Storage in the Presence of Synaptic Turnover",NA,NA,NA,NA,NA,NA,NA,"PLOS COMPUTATIONAL BIOLOGY",NA,NA,NA,"11","12",NA,NA,NA,NA,"e1004684","10.1371/journal.pcbi.1004684",NA,NA,"42339","2015","A long-standing problem is how memories can be stored for very long times despite the volatility of the underlying neural substrate, most notably the high turnover of dendritic spines and synapses. To address this problem, here we are using a generic and simple probabilistic model for the creation and removal of synapses. We show that information can be stored for several months when utilizing the intrinsic dynamics of multi-synapse connections. In such systems, single synapses can still show high turnover, which enables fast learning of new information, but this will not perturb prior stored information (slow forgetting), which is represented by the compound state of the connections. The model matches the time course of recent experimental spine data during learning and memory in mice supporting the assumption of multi-synapse connections as the basis for long-term storage.",NA,NA,NA,NA,NA,NA,NA,NA,"0","0","0","0","0","0",NA,NA,"1553-734X","1553-7358",NA,"WOS:000368521900060","26713858","J",1,4,"Nature","2009","","921","8577","mice","spine formation","YES","spine formation in enriched vs standard conditions","between","percentage of spine formation","US","potentially serious"
"100","Sweitzer, Sara J.; Ranjit, Nalini; Calloway, Eric E.; Hoelscher, Deanna M.; Almansor, Fawaz; Briley, Margaret E.; Roberts-Gray, Cynthia R.",NA,NA,NA,NA,NA,NA,NA,"Examining How Adding a Booster to a Behavioral Nutrition Intervention Prompts Parents to Pack More Vegetables and Whole Gains in Their Preschool Children's Sack Lunches",NA,NA,NA,NA,NA,NA,NA,"BEHAVIORAL MEDICINE",NA,NA,NA,"42","1",NA,NA,"9","17",NA,"10.1080/08964289.2014.935283",NA,NA,"JAN 2 2016","2016","Data from a five-week intervention to increase parents' packing of vegetables and whole grains in their preschool children's sack lunches showed that, although changes occurred, habit strength was weak. To determine the effects of adding a one-week booster three months post-intervention, children's (N = 59 intervention and 48 control) lunches were observed at baseline (week 0), post-intervention (week 6), pre-booster (week 20), and post-booster (week 26). Servings of vegetables and whole grains were evaluated in repeated measures models and results inspected relative to patterns projected from different explanatory models of behavior change processes. Observed changes aligned with projections from the simple associative model of behavior change. Attention in future studies should focus on behavioral intervention elements that leverage stimulus-response associations to increase gratification parents receive from providing their children with healthy lunches.",NA,NA,NA,NA,NA,NA,NA,NA,"1","0","0","0","0","1",NA,NA,"0896-4289","1940-4026",NA,"WOS:000369296200002","24971674","J",1,5,"Science","2009","01-May","647","5927","human","BOLD","YES","self-control vs. non self-control","between","BOLD beta's","US","data suggest: not serious"
"96","Patro, Katarzyna; Krysztofiak, Wojciech",NA,NA,NA,NA,NA,NA,NA,"Mental Number Lines. SNARC Effect. Philosophical Aspects",NA,NA,NA,NA,NA,NA,NA,"FILOZOFIA NAUKI",NA,NA,NA,"21","3",NA,NA,"45","+",NA,NA,NA,NA,"41548","2013","The aim of the article is to propose a formal model of a representational system underlying the core numerical knowledge which is usually manifested in psychological experiments as the SNARC effect, size and distance effects, and the effect of numerical scale. Starting with the assumption that all the effects can be explained by a metaphor of a mental number line, we based our model on a hierarchical structure composed of three numerical axes characterized by different levels of representational efficiency: (i) a summation-accumulator axis, (ii) a point-place axis, and (iii) an exact point-based axis. The model predicts that a mature exact number line, in a form as it is observed in most of experiments with adults, arises as an effect of certain transformation processes occurring within first two primary, pre-existing axes. The paradigm underlying the theoretic construction may be interpreted philosophically as a neo-Kantian approach to modelling mind's representational structures.",NA,NA,NA,NA,NA,NA,NA,NA,"2","0","0","0","0","2",NA,NA,"1230-6894",NA,NA,"WOS:000326479800004",NA,"J",1,2,"Science","2009","19-Jun","1584","5934","human","eye movements mental arithmatic","YES","leftward vs rightward saccades","within","behavioral","France","potentially serious"
