"index","PT","AU","BA","BE","GP","AF","BF","CA","TI","SO","SE","BS","LA","DT","CT","CY","CL","SP","HO","DE","ID","AB","C1","RP","EM","RI","OI","FU","FX","CR","NR","TC","Z9","U1","U2","PU","PI","PA","SN","EI","BN","J9","JI","PD","PY","VL","IS","PN","SU","SI","MA","BP","EP","AR","DI","D2","PG","WC","SC","GA","UT","PM","X","year","X.1","X.2","X.3","X.4","X.5","X.6","X.7","X.8","X.9","X.10","X.11","X.12","X.13","X.14","X.15","X.16","X.17","X.18","X.19","X.20","X.21","X.22","X.23","X.24","X.25","X.26"
1,"J","Fukuhara, A; Matsuda, M; Nishizawa, M; Segawa, K; Tanaka, M; Kishimoto, K; Matsuki, Y; Murakami, M; Ichisaka, T; Murakami, H; Watanabe, E; Takagi, T; Akiyoshi, M; Ohtsubo, T; Kihara, S; Yamashita, S; Makishima, M; Funahashi, T; Yamanaka, S; Hiramatsu, R; Matsuzawa, Y; Shimomura, I",NA,"",NA,"Fukuhara, Atsunori; Matsuda, Morihiro; Nishizawa, Masako; Segawa, Katsumori; Tanaka, Masaki; Kishimoto, Kae; Matsuki, Yasushi; Murakami, Mirei; Ichisaka, Tomoko; Murakami, Hiroko; Watanabe, Eijiro; Takagi, Toshiyuki; Akiyoshi, Megumi; Ohtsubo, Tsuguteru; Kihara, Shinji; Yamashita, Shizuya; Makishima, Makoto; Funahashi, Tohru; Yamanaka, Shinya; Hiramatsu, Ryuji; Matsuzawa, Yuji; Shimomura, Iichiro",NA,"","Visfatin: A protein secreted by visceral fat that mimics the effects of insulin (Retraction of vol 307, pg 426, 2005)","SCIENCE","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0036-8075","","",NA,NA,"26-Oct",2007,"318","5850","",NA,"",NA,"565","565","","","",NA,"Multidisciplinary Sciences","Science & Technology - Other Topics",NA,"WOS:000250409200013",17962537,NA,2005,"Fukuhara, A"," Matsuda, M"," Nishizawa, M"," Segawa, K"," Tanaka, M"," Kishimoto, K"," Matsuki, Y"," Murakami, M"," Ichisaka, T"," Murakami, H"," Watanabe, E"," Takagi, T"," Akiyoshi, M"," Ohtsubo, T"," Kihara, S"," Yamashita, S"," Makishima, M"," Funahashi, T"," Yamanaka, S"," Hiramatsu, R"," Matsuzawa, Y"," Shimomura, I","","","",""
2,"J","Chang, G; Roth, CB; Reyes, CL; Pornillos, O; Chen, YJ; Chen, AP",NA,"",NA,"Chang, Geoffrey; Roth, Christopher B.; Reyes, Christopher L.; Pornillos, Owen; Chen, Yen-Ju; Chen, Andy P.",NA,"","Structure of MsbA from E. coli: A homolog of the multidrug resistance ATP binding cassette (ABC) transporters (Retraction of vol 293, pg 1793, 2001)","SCIENCE","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0036-8075","","",NA,NA,"22-Dec",2006,"314","5807","",NA,"",NA,"1875","1875","","","",NA,"Multidisciplinary Sciences","Science & Technology - Other Topics",NA,"WOS:000242996800018",17185584,NA,2001,"Chang, G"," Roth, CB"," Reyes, CL"," Pornillos, O"," Chen, YJ"," Chen, AP","","","","","","","","","","","","","","","","","","","",""
3,"J","Alvarez, VA; Ridenour, DA; Sabatini, BL",NA,"",NA,"Alvarez, Veronica A.; Ridenour, Dennis A.; Sabatini, Bernardo L.",NA,"","Retraction of synapses and dendritic spines induced by off-target effects of RNA interference (Retracted Article. See vol 26, issue 43, Oct 25 2006)","JOURNAL OF NEUROSCIENCE","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"RNA interference (RNAi), which allows selective gene silencing, has been proposed for functional genomic analysis and for the treatment of human disease. However, induction of RNAi in mammalian cells by expression of double-stranded RNA can activate innate antiviral response pathways that perturb off-target gene expression. The activation and functional consequences of these effects in neurons are unknown. We find that expression of subsets of short hairpin RNAs (shRNAs) in rat hippocampal pyramidal neurons can have off-target effects that reduce the complexity of dendritic arbors and trigger the loss of dendritic spines. Morphological changes are accompanied by electrophysiological perturbations in passive membrane properties and a decrease in the number and strength of excitatory and inhibitory synapses. These perturbations depend on the shRNA sequence and are independent of the identity of the targeted protein. Our results indicate that off-target effects of RNAi severely perturb neuronal structure and function and may lead to the functional withdrawal of affected cells from the brain circuitry.",NA,NA,NA,"Alvarez, Veronica /E-9745-2015","Alvarez, Veronica /0000-0003-2611-8675",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0270-6474","","",NA,NA,"26-Jul",2006,"26","30","",NA,"",NA,"7820","7825","","10.1523/JNEUROSCI.1957-06.2006","",NA,"Neurosciences","Neurosciences & Neurology",NA,"WOS:000239361200006",16870727,NA,2006,"Alvarez, VA"," Ridenour, DA"," Sabatini, BL","","","","","","","","","","","","","","","","","","","","","","",""
4,"J","de la Fuente, R; Bernad, A; Garcia-Castro, J; Martin, MC; Cigudosa, JC",NA,"",NA,"de la Fuente, Ricardo; Bernad, Antonio; Garcia-Castro, Javier; Martin, Maria C.; Cigudosa, Juan C.",NA,"","Spontaneous Human Adult Stem Cell Transformation (Retraction of vol 65, pg 3035, 2005)","CANCER RESEARCH","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,"Garcia-Castro, Javier/H-5274-2011","Garcia-Castro, Javier/0000-0001-7604-1640",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0008-5472","","",NA,NA,"15-Aug",2010,"70","16","",NA,"",NA,"6682","6682","","10.1158/0008-5472.CAN-10-2451","",NA,"Oncology","Oncology",NA,"WOS:000280887000030",20710046,NA,2005,"de la Fuente, R"," Bernad, A"," Garcia-Castro, J"," Martin, MC"," Cigudosa, JC","","","","","","","","","","","","","","","","","","","","",""
5,"J","Makarova, TL; Sundqvist, B; Hohne, R; Esquinazi, P; Kopelevich, Y; Scharff, P; Davydov, V; Kashevarova, LS; Rakhmanina, AV",NA,"",NA,"Makarova, TL; Sundqvist, B; Hohne, R; Esquinazi, P; Kopelevich, Y; Scharff, P; Davydov, V; Kashevarova, LS; Rakhmanina, AV",NA,"","Magnetic carbon (Retraction of vol 413, pg 716, 2001)","NATURE","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0028-0836","","",NA,NA,"30-Mar",2006,"440","7084","",NA,"",NA,"707","707","","10.1038/nature04622","",NA,"Multidisciplinary Sciences","Science & Technology - Other Topics",NA,"WOS:000236350400052",16572178,NA,2001,"Makarova, TL"," Sundqvist, B"," Hohne, R"," Esquinazi, P"," Kopelevich, Y"," Scharff, P"," Davydov, V"," Kashevarova, LS"," Rakhmanina, AV","","","","","","","","","","","","","","","","",""
6,"J","Carpena, P; Bernaola-Galvan, P; Ivanov, PC; Stanley, HE",NA,"",NA,"Carpena, P; Bernaola-Galvan, P; Ivanov, PC; Stanley, HE",NA,"","Metal-insulator transition in chains with correlated disorder (Retraction of vol 418, pg 955, 2002)","NATURE","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,"Carpena, Pedro/C-6791-2009; Ivanov, Plamen /E-8004-2012","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0028-0836","","",NA,NA,"13-Feb",2003,"421","6924","",NA,"",NA,"764","764","","10.1038/nature01288","",NA,"Multidisciplinary Sciences","Science & Technology - Other Topics",NA,"WOS:000180938000050",12610631,NA,2002,"Carpena, P"," Bernaola-Galvan, P"," Ivanov, PC"," Stanley, HE","","","","","","","","","","","","","","","","","","","","","",""
8,"J","Cone, EJ; Fant, RV; Rohay, JM; Caplan, YH; Ballina, M; Reder, RF; Haddox, JD",NA,"",NA,"Cone, EJ; Fant, RV; Rohay, JM; Caplan, YH; Ballina, M; Reder, RF; Haddox, JD",NA,"","Oxycodone involvement in drug abuse deaths. II. Evidence for toxic multiple drug-drug interactions (Retraction of vol 28, pg 217, 2004)","JOURNAL OF ANALYTICAL TOXICOLOGY","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0146-4760","1945-2403","",NA,NA,"OCT",2004,"28","7","",NA,"",NA,"616","624","","","",NA,"Chemistry, Analytical; Toxicology","Chemistry; Toxicology",NA,"WOS:000224218100011",15516322,NA,2004,"Cone, EJ"," Fant, RV"," Rohay, JM"," Caplan, YH"," Ballina, M"," Reder, RF"," Haddox, JD","","","","","","","","","","","","","","","","","","",""
9,"J","Tolentino, MJ; Brucker, AJ; Fosnot, J; Ying, GS; Wu, IH; Malik, G; Wan, S; Reich, SJ",NA,"",NA,"Tolentino, MJ; Brucker, AJ; Fosnot, J; Ying, GS; Wu, IH; Malik, G; Wan, S; Reich, SJ",NA,"","Intravitreal injection of vascular endothelial growth factor small interfering RNA inhibits growth and leakage in the nonhuman primate, laser-induced model of choroidal neovascularization (Retraction of vol 24, pg 132, 2004)","RETINA-THE JOURNAL OF RETINAL AND VITREOUS DISEASES","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0275-004X","","",NA,NA,"AUG",2004,"24","4","",NA,"",NA,"660","660","","10.1097/00006982-200408000-00039","",NA,"Ophthalmology","Ophthalmology",NA,"WOS:000223411200039",15473063,NA,2004,"Tolentino, MJ"," Brucker, AJ"," Fosnot, J"," Ying, GS"," Wu, IH"," Malik, G"," Wan, S"," Reich, SJ","","","","","","","","","","","","","","","","","",""
10,"J","Bohlenius, H; Eriksson, S; Parcy, F; Nilsson, O",NA,"",NA,"Bohlenius, Henrik; Eriksson, Sven; Parcy, Francois; Nilsson, Ove",NA,"","THE MRNA of the Arabidopsis gene FT moves from leaf to shoot apex and induces flowering (Retraction of vol 309, pg 1694, 2005)","SCIENCE","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,"Parcy, francois/G-9177-2011","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0036-8075","","",NA,NA,"20-Apr",2007,"316","5823","",NA,"",NA,"367","367","","","",NA,"Multidisciplinary Sciences","Science & Technology - Other Topics",NA,"WOS:000245813400015",17446370,NA,2005,"Bohlenius, H"," Eriksson, S"," Parcy, F"," Nilsson, O","","","","","","","","","","","","","","","","","","","","","",""
11,"J","Wakefield, AJ; Murch, SH; Anthony, A",NA,"",NA,"Wakefield, A. J.; Murch, S. H.; Anthony, A.",NA,"","Ileal-lymphoid-nodular hyperplasia, non-specific colitis, and pervasive developmental disorder in children (Retraction of vol 351, pg 637, 1998)","LANCET","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0140-6736","","",NA,NA,"06-Feb",2010,"375","9713","",NA,"",NA,"445","445","","10.1016/S0140-6736(10)60175-4","",NA,"Medicine, General & Internal","General & Internal Medicine",NA,"WOS:000274757900010",NA,NA,1998,"Wakefield, AJ"," Murch, SH"," Anthony, A","","","","","","","","","","","","","","","","","","","","","","",""
