"index","diff","approving"
34,0,NA
40,0,1
83,0,NA
95,0,1
98,0,1
215,0,1
316,0,1
584,0,0
893,0,1
1528,0,1
1554,0,0
1586,0,1
1988,0,1
2138,0,1
2377,0,1
2445,0,1
3269,0,1
3302,0,1
3767,0,1
817,0,1
274,0,1
41,0,1
2769,0,1
3093,0,1
19,0,1
1775,0,1
3849,-1,NA
500,0,NA
1217,-8,1
27,-3,1
563,-4,1
275,-1,1
736,-8,1
88,0,1
2578,-3,1
2833,-3,1
51,-2,1
3016,-4,1
92,-1,1
3931,-4,1
3518,-1,1
1769,-3,1
275,-10,1
3872,0,NA
1116,-2,1
563,-5,NA
3593,-3,1
3745,-2,1
65,-1,1
294,-3,1
13,-1,NA
233,-2,1
3663,-2,NA
275,-3,1
1077,-3,1
279,-5,1
296,-1,1
1807,-6,1
2995,-9,1
211,0,1
3289,0,1
2626,0,1
2331,-4,1
39,-3,1
999,0,1
538,-1,NA
42,-4,1
2050,-11,1
581,-4,1
387,-1,1
131,0,1
1351,0,1
2782,0,NA
3988,-2,1
142,-1,1
581,-5,1
1740,-3,1
2589,-3,NA
1925,-5,1
1940,0,1
589,0,NA
3178,-2,1
88,-1,1
200,-4,1
818,-6,1
2667,-2,1
2846,-2,1
2663,0,1
1,-1,1
1853,-10,1
3536,-3,1
457,-6,1
2050,-4,1
1158,0,1
1384,-3,1
563,-5,1
2287,-1,1
2525,-4,1
1232,0,1
1352,0,NA
