SO,WC,SC
AAPS PHARMSCITECH,Pharmacology & Pharmacy,Pharmacology & Pharmacy
ABDOMINAL IMAGING,"Gastroenterology & Hepatology; Radiology, Nuclear Medicine & Medical Imaging","Gastroenterology & Hepatology; Radiology, Nuclear Medicine & Medical Imaging"
ABSTRACT AND APPLIED ANALYSIS,,
ACADEMY OF MANAGEMENT JOURNAL,Business; Management,Business & Economics
ACCOUNTING HORIZONS,"Business, Finance",Business & Economics
ACCOUNTING ORGANIZATIONS AND SOCIETY,"Business, Finance",Business & Economics
ACCOUNTING REVIEW,"Business, Finance",Business & Economics
ACS APPLIED MATERIALS & INTERFACES,"Nanoscience & Nanotechnology; Materials Science, Multidisciplinary",Science & Technology - Other Topics; Materials Science
ACS CATALYSIS,"Chemistry, Physical",Chemistry
ACS MEDICINAL CHEMISTRY LETTERS,"Chemistry, Medicinal",Pharmacology & Pharmacy
ACS NANO,"Chemistry, Multidisciplinary; Chemistry, Physical; Nanoscience & Nanotechnology; Materials Science, Multidisciplinary",Chemistry; Science & Technology - Other Topics; Materials Science
ACTA AGRICULTURAE SCANDINAVICA SECTION B-SOIL AND PLANT SCIENCE,Agronomy; Soil Science,Agriculture
ACTA ANAESTHESIOLOGICA SCANDINAVICA,Anesthesiology,Anesthesiology
ACTA ASTRONAUTICA,"Engineering, Aerospace",Engineering
ACTA BIOCHIMICA ET BIOPHYSICA SINICA,Biochemistry & Molecular Biology; Biophysics,Biochemistry & Molecular Biology; Biophysics
ACTA BIOMATERIALIA,"Engineering, Biomedical; Materials Science, Biomaterials",Engineering; Materials Science
ACTA CRYSTALLOGRAPHICA SECTION A,"Chemistry, Multidisciplinary; Crystallography",Chemistry; Crystallography
ACTA CRYSTALLOGRAPHICA SECTION C-CRYSTAL STRUCTURE COMMUNICATIONS,"Chemistry, Multidisciplinary; Crystallography",Chemistry; Crystallography
ACTA CRYSTALLOGRAPHICA SECTION D-BIOLOGICAL CRYSTALLOGRAPHY,Biochemical Research Methods; Biochemistry & Molecular Biology; Biophysics; Crystallography,Biochemistry & Molecular Biology; Biophysics; Crystallography
