Publication Years	records	% of 3441521
1900	1870	0.054
1901	1814	0.053
1902	2626	0.076
1903	2111	0.061
1904	2418	0.070
1905	2006	0.058
1906	2319	0.067
1907	2897	0.084
1908	2408	0.070
1909	2405	0.070
1910	2776	0.081
1911	2436	0.071
1912	2462	0.072
1913	2870	0.083
1914	2333	0.068
1915	1822	0.053
1916	2252	0.065
1917	1934	0.056
1918	2300	0.067
1919	2323	0.067
1920	2916	0.085
1921	3116	0.091
1922	3141	0.091
1923	3425	0.100
1924	3524	0.102
1925	3963	0.115
1926	3250	0.094
1927	3880	0.113
1928	3938	0.114
1929	4174	0.121
1930	4140	0.120
1931	4407	0.128
1932	4033	0.117
1933	4188	0.122
1934	4916	0.143
1935	4912	0.143
1936	4429	0.129
1937	4358	0.127
1938	5063	0.147
1939	4848	0.141
1940	3836	0.111
1941	3998	0.116
1942	2941	0.085
1943	2933	0.085
1944	2701	0.078
1945	3352	0.097
1946	4411	0.128
1947	5019	0.146
1948	6887	0.200
1949	7224	0.210
1950	8031	0.233
1951	6877	0.200
1952	7416	0.215
1953	8357	0.243
1954	7615	0.221
1955	9929	0.289
1956	10688	0.311
1957	11523	0.335
1958	12194	0.354
1959	13187	0.383
1960	14715	0.428
1961	14183	0.412
1962	16984	0.494
1963	18671	0.543
1964	17543	0.510
1965	19369	0.563
1966	20733	0.602
1967	21911	0.637
1968	23567	0.685
1969	27063	0.786
1970	29074	0.845
1971	29743	0.864
1972	31176	0.906
1973	30822	0.896
1974	30700	0.892
1975	32555	0.946
1976	32993	0.959
1977	38410	1.116
1978	38851	1.129
1979	40055	1.164
1980	38257	1.112
1981	38166	1.109
1982	39374	1.144
1983	40792	1.185
1984	41006	1.192
1985	42020	1.221
1986	40512	1.177
1987	40883	1.188
1988	41221	1.198
1989	41945	1.219
1990	42418	1.233
1991	43251	1.257
1992	42587	1.237
1993	42913	1.247
1994	44851	1.303
1995	44779	1.301
1996	49466	1.437
1997	49054	1.425
1998	50756	1.475
1999	49831	1.448
2000	50334	1.463
2001	50879	1.478
2002	52631	1.529
2003	56659	1.646
2004	59906	1.741
2005	65545	1.905
2006	70863	2.059
2007	82790	2.406
2008	92832	2.697
2009	102475	2.978
2010	109665	3.187
2011	128678	3.739
2012	143805	4.179
2013	163360	4.747
2014	172896	5.024
2015	190244	5.528
2016	188637	5.481
(17 Publication Years {0} {1} value(s) outside display options.)
(0 records (0.000%){0} records{1} do not contain data in the field being analyzed.)
