Publication Years	records	% of 166746
1939	3	0.002
1940	13	0.008
1941	16	0.010
1942	8	0.005
1946	7	0.004
1947	13	0.008
1948	19	0.011
1949	24	0.014
1950	19	0.011
1951	22	0.013
1952	16	0.010
1953	19	0.011
1954	23	0.014
1955	26	0.016
1956	182	0.109
1957	163	0.098
1958	192	0.115
1959	205	0.123
1960	205	0.123
1961	294	0.176
1962	218	0.131
1963	225	0.135
1964	234	0.140
1965	261	0.157
1966	386	0.231
1967	444	0.266
1968	410	0.246
1969	425	0.255
1970	708	0.425
1971	480	0.288
1972	368	0.221
1973	516	0.309
1974	771	0.462
1975	1968	1.180
1976	2536	1.521
1977	2550	1.529
1978	2591	1.554
1979	2888	1.732
1980	2800	1.679
1981	2954	1.772
1982	3255	1.952
1983	3745	2.246
1984	4031	2.417
1985	4059	2.434
1986	4164	2.497
1987	4005	2.402
1988	3931	2.357
1989	3472	2.082
1990	3415	2.048
1991	3262	1.956
1992	3245	1.946
1993	3033	1.819
1994	2970	1.781
1995	3146	1.887
1996	3027	1.815
1997	3005	1.802
1998	3052	1.830
1999	2966	1.779
2000	3040	1.823
2001	3171	1.902
2002	3027	1.815
2003	3134	1.880
2004	3329	1.996
2005	3163	1.897
2006	3172	1.902
2007	3769	2.260
2008	4463	2.677
2009	5359	3.214
2010	5266	3.158
2011	5432	3.258
2012	5981	3.587
2013	6014	3.607
2014	5695	3.415
2015	9131	5.476
2016	6615	3.967

