Publication Years	records	% of 365544
1900	670	0.183
1901	768	0.210
1902	953	0.261
1903	975	0.267
1904	1107	0.303
1905	802	0.219
1906	1237	0.338
1907	1246	0.341
1908	1307	0.358
1909	1242	0.340
1910	1160	0.317
1911	1142	0.312
1912	1134	0.310
1913	1266	0.346
1914	951	0.260
1915	427	0.117
1916	519	0.142
1917	459	0.126
1918	618	0.169
1919	721	0.197
1920	999	0.273
1921	1242	0.340
1922	1391	0.381
1923	1511	0.413
1924	1691	0.463
1925	1858	0.508
1926	987	0.270
1927	1882	0.515
1928	1742	0.477
1929	1942	0.531
1930	1931	0.528
1931	2184	0.597
1932	2007	0.549
1933	1728	0.473
1934	2248	0.615
1935	2159	0.591
1936	2019	0.552
1937	1722	0.471
1938	1850	0.506
1939	1698	0.465
1940	756	0.207
1941	749	0.205
1942	685	0.187
1943	600	0.164
1944	691	0.189
1945	747	0.204
1946	906	0.248
1947	948	0.259
1948	1017	0.278
1949	1067	0.292
1950	1273	0.348
1951	1242	0.340
1952	1273	0.348
1953	1271	0.348
1954	1334	0.365
1955	1270	0.347
1956	1362	0.373
1957	1347	0.368
1958	775	0.212
1959	1198	0.328
1960	1385	0.379
1961	1734	0.474
1962	1755	0.480
1963	2150	0.588
1964	2416	0.661
1965	2667	0.730
1966	2384	0.652
1967	1844	0.504
1968	2537	0.694
1969	3523	0.964
1970	2891	0.791
1971	3725	1.019
1972	4481	1.226
1973	4759	1.302
1974	3393	0.928
1975	3454	0.945
1976	3709	1.015
1977	4182	1.144
1978	4025	1.101
1979	4359	1.192
1980	5506	1.506
1981	6053	1.656
1982	6507	1.780
1983	5990	1.639
1984	6153	1.683
1985	4574	1.251
1986	4167	1.140
1987	4266	1.167
1988	4245	1.161
1989	3953	1.081
1990	4178	1.143
1991	4184	1.145
1992	3918	1.072
1993	4091	1.119
1994	4325	1.183
1995	4028	1.102
1996	4504	1.232
1997	4887	1.337
1998	5020	1.373
1999	5036	1.378
