Publication Years	records	% of 23836
1965	10	0.042
1966	21	0.088
1967	15	0.063
1968	17	0.071
1969	25	0.105
1970	16	0.067
1971	17	0.071
1972	21	0.088
1973	25	0.105
1974	20	0.084
1975	20	0.084
1976	22	0.092
1977	48	0.201
1978	109	0.457
1979	118	0.495
1980	134	0.562
1981	71	0.298
1982	88	0.369
1983	97	0.407
1984	133	0.558
1985	137	0.575
1986	185	0.776
1987	231	0.969
1988	258	1.082
1989	275	1.154
1990	287	1.204
1991	379	1.590
1992	374	1.569
1993	407	1.708
1994	365	1.531
1995	444	1.863
1996	423	1.775
1997	457	1.917
1998	484	2.031
1999	510	2.140
2000	587	2.463
2001	577	2.421
2002	629	2.639
2003	692	2.903
2004	703	2.949
2005	787	3.302
2006	1276	5.353
2007	1107	4.644
2008	997	4.183
2009	1263	5.299
2010	1044	4.380
2011	1507	6.322
2012	1055	4.426
2013	1460	6.125
2014	1300	5.454
2015	1254	5.261
2016	1355	5.685
