Publication Years	records	% of 393821
1900	82	0.021
1901	83	0.021
1902	112	0.028
1903	113	0.029
1904	93	0.024
1905	110	0.028
1906	125	0.032
1907	148	0.038
1908	161	0.041
1909	192	0.049
1910	218	0.055
1911	217	0.055
1912	185	0.047
1913	194	0.049
1914	195	0.050
1915	220	0.056
1916	328	0.083
1917	318	0.081
1918	342	0.087
1919	316	0.080
1920	348	0.088
1921	390	0.099
1922	377	0.096
1923	441	0.112
1924	420	0.107
1925	415	0.105
1926	444	0.113
1927	400	0.102
1928	416	0.106
1929	474	0.120
1930	478	0.121
1931	486	0.123
1932	475	0.121
1933	510	0.130
1934	560	0.142
1935	585	0.149
1936	555	0.141
1937	649	0.165
1938	654	0.166
1939	595	0.151
1940	566	0.144
1941	593	0.151
1942	564	0.143
1943	551	0.140
1944	495	0.126
1945	509	0.129
1946	603	0.153
1947	557	0.141
1948	570	0.145
1949	649	0.165
1950	673	0.171
1951	694	0.176
1952	667	0.169
1953	641	0.163
1954	668	0.170
1955	684	0.174
1956	720	0.183
1957	933	0.237
1958	906	0.230
1959	858	0.218
1960	1163	0.295
1961	1043	0.265
1962	1036	0.263
1963	1139	0.289
1964	1045	0.265
1965	1389	0.353
1966	1637	0.416
1967	1878	0.477
1968	2137	0.543
1969	2289	0.581
1970	2866	0.728
1971	2834	0.720
1972	2704	0.687
1973	2889	0.734
1974	3542	0.899
1975	3847	0.977
1976	3741	0.950
1977	3944	1.001
1978	3934	0.999
1979	4393	1.115
1980	4496	1.142
1981	4239	1.076
1982	4511	1.145
1983	4575	1.162
1984	4900	1.244
1985	4841	1.229
1986	4613	1.171
1987	4626	1.175
1988	4622	1.174
1989	4874	1.238
1990	5040	1.280
1991	5039	1.280
1992	5345	1.357
1993	5320	1.351
1994	5347	1.358
1995	5200	1.320
1996	5528	1.404
1997	5558	1.411
1998	5496	1.396
1999	5810	1.475
2000	6028	1.531
2001	5913	1.501
2002	5942	1.509
2003	6660	1.691
2004	7189	1.825
2005	8053	2.045
2006	9301	2.362
2007	10361	2.631
2008	13138	3.336
2009	15040	3.819
2010	15598	3.961
2011	17377	4.412
2012	17081	4.337
2013	18544	4.709
2014	19240	4.885
2015	22706	5.766
2016	19695	5.001

