Publication Years	records	% of 2521348
1900	1118	0.044
1901	963	0.038
1902	1561	0.062
1903	1023	0.041
1904	1218	0.048
1905	1094	0.043
1906	957	0.038
1907	1503	0.060
1908	940	0.037
1909	971	0.039
1910	1398	0.055
1911	1077	0.043
1912	1143	0.045
1913	1410	0.056
1914	1187	0.047
1915	1175	0.047
1916	1405	0.056
1917	1157	0.046
1918	1340	0.053
1919	1286	0.051
1920	1569	0.062
1921	1484	0.059
1922	1373	0.054
1923	1473	0.058
1924	1413	0.056
1925	1690	0.067
1926	1819	0.072
1927	1598	0.063
1928	1780	0.071
1929	1758	0.070
1930	1731	0.069
1931	1737	0.069
1932	1551	0.062
1933	1950	0.077
1934	2108	0.084
1935	2168	0.086
1936	1855	0.074
1937	1987	0.079
1938	2559	0.101
1939	2552	0.101
1940	2501	0.099
1941	2640	0.105
1942	1684	0.067
1943	1782	0.071
1944	1515	0.060
1945	2096	0.083
1946	2895	0.115
1947	3501	0.139
1948	5281	0.209
1949	5484	0.218
1950	6066	0.241
1951	4919	0.195
1952	5460	0.217
1953	6426	0.255
1954	5590	0.222
1955	7949	0.315
1956	8427	0.334
1957	9090	0.361
1958	10355	0.411
1959	10976	0.435
1960	12036	0.477
1961	11184	0.444
1962	14049	0.557
1963	15246	0.605
1964	13906	0.552
1965	15132	0.600
1966	16595	0.658
1967	18074	0.717
1968	18791	0.745
1969	21109	0.837
1970	22867	0.907
1971	22921	0.909
1972	23906	0.948
1973	22963	0.911
1974	23380	0.927
1975	23693	0.940
1976	23426	0.929
1977	28167	1.117
1978	28703	1.138
1979	29138	1.156
1980	25924	1.028
1981	25877	1.026
1982	25962	1.030
1983	27380	1.086
1984	26759	1.061
1985	29378	1.165
1986	28327	1.123
1987	28854	1.144
1988	29271	1.161
1989	30391	1.205
1990	30492	1.209
1991	31130	1.235
1992	30444	1.207
1993	30815	1.222
1994	32346	1.283
1995	32397	1.285
1996	36446	1.445
1997	35507	1.408
1998	37123	1.472
1999	36053	1.430
2000	36056	1.430
2001	36333	1.441
2002	38107	1.511
2003	40969	1.625
2004	43060	1.708
2005	47884	1.899
2006	50951	2.021
2007	60924	2.416
2008	66804	2.650
2009	73272	2.906
2010	79345	3.147
2011	95276	3.779
2012	108722	4.312
2013	128010	5.077
2014	136704	5.422
2015	146668	5.817
2016	151383	6.004

