"PT","AU","BA","BE","GP","AF","BF","CA","TI","SO","SE","BS","LA","DT","CT","CY","CL","SP","HO","DE","ID","AB","C1","RP","EM","RI","OI","FU","FX","CR","NR","TC","Z9","U1","U2","PU","PI","PA","SN","EI","BN","J9","JI","PD","PY","VL","IS","PN","SU","SI","MA","BP","EP","AR","DI","D2","PG","WC","SC","GA","UT","PM","index","dirty_index"
"J","Grolla, AA; Travelli, C; Genazzani, AA; Sethi, JK",NA,NA,NA,"Grolla, Ambra A.; Travelli, Cristina; Genazzani, Armando A.; Sethi, Jaswinder K.",NA,NA,"Extracellular nicotinamide phosphoribosyltransferase, a new cancer metabokine","BRITISH JOURNAL OF PHARMACOLOGY",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"In this review, we focus on the secreted form of nicotinamide phosphoribosyltransferase (NAMPT); extracellular NAMPT (eNAMPT), also known as pre-B cell colony-enhancing factor or visfatin. Although intracellular NAMPT is a key enzyme in controlling NAD metabolism, eNAMPT has been reported to function as a cytokine, with many roles in physiology and pathology. Circulating eNAMPT has been associated with several metabolic and inflammatory disorders, including cancer. Because cytokines produced in the tumour micro-environment play an important role in cancer pathogenesis, in part by reprogramming cellular metabolism, future improvements in cancer immunotherapy will require a better understanding of the crosstalk between cytokine action and tumour biology. In this review, the knowledge of eNAMPT in cancer will be discussed, focusing on its immunometabolic function as a metabokine, its secretion, its mechanism of action and possible roles in the cancer micro-environment.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0007-1188","1476-5381",NA,NA,NA,"JUL",2016,"173","14",NA,NA,NA,NA,"2182","2194",NA,"10.1111/bph.13505",NA,NA,NA,NA,NA,"WOS:000379675900002",27128025,1,"1 no 1"
"J","Choi, SH; Chun, SY; Kim, TH; Kwon, TG",NA,NA,NA,"Choi, Seock Hwan; Chun, So Young; Kim, Tae-Hwan; Kwon, Tae Gyun",NA,NA,"Identifying the emerging role of adipokine as a diagnostic and prognostic biomarker of renal cell carcinoma","UROLOGIC ONCOLOGY-SEMINARS AND ORIGINAL INVESTIGATIONS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Objective: To assess the association and prognostic value of adipokines (adipocyte-secreted peptide hormones) in renal cell carcinoma (RCC). Materials and methods: Plasma samples from 54 RCC patients and 25 age-matched healthy controls were analyzed for levels of adipokines (adiponectin, leptin, retinol-binding protein 4 [RBP4], and nicotinamide phosphoribosyltransferase [NAMPT]). Baseline characteristics and adipokine levels were compared between patients and controls. The effect of adipokine levels on RCC severity was also investigated. Results: Medians (patients/controls) were body mass index: 24.6/23.5 kg/m(2), serum glucose: 111/93 mg/dl, and high-density lipoprotein: 43/53 mg/dl, and significantly differed between the 2 groups. Median levels (patients/controls) of adipokines were adiponectin: 4.36/8.84 ug/ml, leptin: 2.91/2.92 ng/ml, RBP4: 30.27/16.17 ug/ml and NAMPT: 2.26/2.06 ng/ml; adiponectin, RBP4 and NAMPT (but not leptin) were independently associated with RCC in logistic regression models, and only serum NAMPT was significantly associated with RCC severity (T stage). Conclusions: Lower plasma levels of adiponectin, and higher levels of RBP4 and NAMPT, are strongly correlated with RCC, indicating that these adipokines could be used as biomarkers for RCC. (c) 2016 Elsevier Inc. All rights reserved.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1078-1439","1873-2496",NA,NA,NA,"JUN",2016,"34","6",NA,NA,NA,NA,NA,NA,NA,"10.1016/j.urolonc.2016.01.007",NA,NA,NA,NA,NA,"WOS:000376520300019",NA,1,"1 no 2"
"J","Yang, J; Zhang, K; Song, HX; Wu, MB; Li, JY; Yong, ZY; Jiang, S; Kuang, X; Zhang, T",NA,NA,NA,"Yang, Jing; Zhang, Kun; Song, Haixing; Wu, Mingbo; Li, Jingyi; Yong, Ziyi; Jiang, Sheng; Kuang, Xi; Zhang, Tao",NA,NA,"Visfatin is involved in promotion of colorectal carcinoma malignancy through an inducing EMT mechanism","ONCOTARGET",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Increasing evidences suggested visfatin, a newly discovered obesity-induced adipocytokine, is involved in promotion of cancer malignancy and correlated with worse clinical prognosis. While its effects and mechanisms on progression of colorectal cancer (CRC) remain unclear. Our clinical data show that visfatin protein is over expressed, positive associated with lymph node metastasis, high-grade tumor, and poor prognosis in 87 CRC patients. The levels of plasma visfatin are significantly upregulated in Stage IV colon cancer. Visfatin can significantly promote the in vitro migration and invasion of CRC cells via induction epithelial mesenchymal transition (EMT). It can increase the expression and nuclear translocation of Snail, a key transcription factor in regulating EMT. While silencing of Snail attenuates visfatin induced EMT. Further studies reveal visfatin can inhibit the association of Snail with GSK-3 beta and subsequently suppress ubiquitylation of Snail. In addition, visfatin can increase the expression and nuclear translocation of beta-catenin, elevate its binding with Snail promoter, and then increase the transcription of Snail. While inhibitor of PI3K/Akt, LY294002, abolishes visfatin induced up regulation of Snail, Vimentin (Vim), beta-catenin, and phosphorylated GSK-3 beta. In summary, our data suggest that increased expression of visfatin are associated with a more aggressive phenotype of CRC patients. It can trigger the EMT of CRC cells via Akt/GSK-3 beta/beta-catenin signals.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1949-2553",NA,NA,NA,NA,"31-May",2016,"7","22",NA,NA,NA,NA,"32306","32317",NA,"10.18632/oncotarget.8615",NA,NA,NA,NA,NA,"WOS:000377748500052",NA,1,"1 no 3"
"J","Larrad, MTM; Anchuelo, AC; Perez, CF; Barba, MP; Redondo, YL; Rios, MS",NA,NA,NA,"Martinez Larrad, Maria Teresa; Corbaton Anchuelo, Arturo; Fernandez Perez, Cristina; Perez Barba, Milagros; Lazcano Redondo, Yera; Serrano Rios, Manuel",NA,"SIRSG","Obesity and Cardiovascular Risk: Variations in Visfatin Gene Can Modify the Obesity Associated Cardiovascular Risk. Results from the Segovia Population Based-Study. Spain","PLOS ONE",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Objectives Our aim was to investigate if genetic variations in the visfatin gene (SNPs rs7789066/rs11977021/rs4730153) could modify the cardiovascular-risk (CV-risk) despite the metabolic phenotype (obesity and glucose tolerance). In addition, we investigated the relationship between insulin sensitivity and variations in visfatin gene. Material and Methods A population-based study in rural and urban areas of the Province of Segovia, Spain, was carried out in the period of 2001-2003 years. A total of 587 individuals were included, 25.4% subjects were defined as obese (BMI >= 30 Kg/m(2)). Results Plasma visfatin levels were significantly higher in obese subjects with DM2 than in other categories of glucose tolerance. The genotype AA of the rs4730153 SNP was significantly associated with fasting glucose, fasting insulin and HOMA-IR (Homeostasis model assessment-insulin resistance) after adjustment for gender, age, BMI and waist circumference. The obese individuals carrying the CC genotype of the rs11977021 SNP showed higher circulating levels of fasting proinsulin after adjustment for the same variables. The genotype AA of the rs4730153 SNP seems to be protective from CV-risk either estimated by Framingham or SCORE charts in general population; and in obese and non-obese individuals. No associations with CV-risk were observed for other studied SNPs (rs11977021/rs7789066). Conclusions In summary, this is the first study which concludes that the genotype AA of the rs4730153 SNP appear to protect against CV-risk in obese and non-obese individuals, estimated by Framingham and SCORE charts. Our results confirm that the different polymorphisms in the visfatin gene might be influencing the glucose homeostasis in obese individuals.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1932-6203",NA,NA,NA,NA,"11-May",2016,"11","5",NA,NA,NA,NA,NA,NA,"e0153976","10.1371/journal.pone.0153976",NA,NA,NA,NA,NA,"WOS:000376587300067",NA,1,"1 no 4"
"J","Kacso, AC; Bondor, CI; Coman, AL; Potra, AR; Georgescu, CE",NA,NA,NA,"Kacso, Alex C.; Bondor, Cosmina I.; Coman, Anca L.; Potra, Alina R.; Georgescu, Carmen E.",NA,NA,"Determinants of visfatin in type 2 diabetes patients with diabetic kidney disease: Relationship to inflammation, adiposity and undercarboxylated osteocalcin","SCANDINAVIAN JOURNAL OF CLINICAL & LABORATORY INVESTIGATION",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Background Visfatin is a proinflammatory molecule with possible actions on glucose metabolism. Interactions to bone metabolism and undercarboxylated osteocalcin (uOC) in diabetic patients (T2DP) with diabetic kidney disease (DKD) have not been reported. Materials and methods We included 51 incident T2DP with DKD. History, laboratory evaluation, anthropometry, visfatin, uOC were obtained. Fifteen T2DP without DKD were used as controls. Results Visfatin was similar in DKD patients and controls: 1.56(0.97-3.03) versus 2.04(1.08-3.21) ng/mL, p = 0.51. In controls, visfatin positively correlated with diabetes duration (r = 0.63, p = 0.01) and negatively with uOC (r = -0.57, p = 0.03). In multivariate regression, diabetes duration remained significant (p = 0.01). In patients with DKD, visfatin was positively linked to C reactive protein (r = 0.27, p = 0.05), tricipital skin fold (TSF) (r = 0.41, p = 0.004) and leukocytes (r = 0.37, p = 0.01); the latter two parameters predicted visfatin in multivariate model (p = 0.001). In normoalbuminuric patients, visfatin was linked to body mass index (r = 0.32, p = 0.04), waist circumference (r = 0.42, p < 0.0001), LDL cholesterol (r = 0.33, p = 0.03), serum glucose (r = 0.36, p = 0.03) and glycated hemoglobin (r = 0.41, p = 0.007); there was a trend towards negative correlation to uOC (r = -0.28, p = 0.07); only glycaemia remained significant in multivariate analysis (p = 0.04). Albuminuric patients displayed a positive correlation of visfatin to waist to hip ratio (r = 0.41, p = 0.04) and leukocytes (r = 0.56, p = 0.04); the latter remained significant in multivariate regression (p = 0.005). Conclusion The main determinant of visfatin in T2D patients with DKD is inflammation; in normoalbuminuric patients, a positive link to adiposity and altered glycemic control and a trend towards a negative correlation to uOC was observable; the latter relationship was evident in patients without DKD.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0036-5513","1502-7686",NA,NA,NA,"02-Apr",2016,"76","3",NA,NA,NA,NA,"217","225",NA,"10.3109/00365513.2015.1137349",NA,NA,NA,NA,NA,"WOS:000372195200006",26922969,1,"1 no 5"
"J","Cabia, B; Andrade, S; Carreira, MC; Casanueva, FF; Crujeiras, AB",NA,NA,NA,"Cabia, B.; Andrade, S.; Carreira, M. C.; Casanueva, F. F.; Crujeiras, A. B.",NA,NA,"A role for novel adipose tissue-secreted factors in obesity-related carcinogenesis","OBESITY REVIEWS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Obesity, a pandemic disease, is caused by an excessive accumulation of fat that can have detrimental effects on health. Adipose tissue plays a very important endocrine role, secreting different molecules that affect body physiology. In obesity, this function is altered, leading to a dysfunctional production of several factors, known as adipocytokines. This process has been linked to various comorbidities associated with obesity, such as carcinogenesis. In fact, several classical adipocytokines with increased levels in obesity have been demonstrated to exert a pro-carcinogenic role, including leptin, TNF-, IL-6 and resistin, whereas others like adiponectin, with decreased levels in obesity, might have an anti-carcinogenic function. In this expanding field, new proteomic techniques and approaches have allowed the identification of novel adipocytokines, a number of which exhibit an altered production in obesity and type 2 diabetes and thus are related to adiposity. Many of these novel adipocytokines have also been identified in various tumour types, such as that of the breast, liver or endometrium, thereby increasing the list of potential contributors to carcinogenesis. This review is focused on the regulation of these novel adipocytokines by obesity, including apelin, endotrophin, FABP4, lipocalin 2, omentin-1, visfatin, chemerin, ANGPTL2 or osteopontin, emphasizing its involvement in tumorigenesis.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1467-7881","1467-789X",NA,NA,NA,"APR",2016,"17","4",NA,NA,NA,NA,"361","376",NA,"10.1111/obr.12377",NA,NA,NA,NA,NA,"WOS:000372002400005",26914773,1,"1 no 6"
"J","Pavlova, T; Novak, J; Bienertova-Vasku, J",NA,NA,NA,"Pavlova, Tereza; Novak, Jan; Bienertova-Vasku, Julie",NA,NA,"The role of visfatin (PBEF/Nampt) in pregnancy complications","JOURNAL OF REPRODUCTIVE IMMUNOLOGY",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Visfatin (PBEF/Nampt) is an adipocytokine that exerts pleiotropic effects within the human body, particularly affecting its metabolism and immunity. Visfatin was originally identified as being secreted by peripheral blood lymphocytes acting as a pre-B-cell colony-enhancing factor (PBEF). However, it was subsequently reported to be expressed in almost every tissue of the human body, with visceral fat deposits being the main source of visfatin. In addition to its secreted form, visfatin may also be found intracellularly where it functions as a nicotinamide phosphoribosyltransferase (Nampt). Visfatin maternal plasma concentrations increase during pregnancy, suggesting its important role in this complicated process. Alterations in visfatin level also take place in patients during pregnancy complications. This review focuses on the ones that most commonly occur in connection with visfatin: preterm labor, pre-eclampsia and gestational diabetes mellitus. The review aims to provide a better understanding of the role of visfatin during pregnancy and the causes of its alteration in maternal plasma, highlighting the potential use of visfatin as a diagnostic marker of pregnancy complications in the future. (C) 2015 Elsevier Ireland Ltd. All rights reserved.",NA,NA,NA,"Novak, Jan/E-4310-2015","Novak, Jan/0000-0001-5204-2067",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0165-0378",NA,NA,NA,NA,"NOV",2015,"112",NA,NA,NA,NA,NA,"102","110",NA,"10.1016/j.jri.2015.09.004",NA,NA,NA,NA,NA,"WOS:000365370500018",26451650,1,"1 no 7"
"J","Dessi, A; Pravettoni, C; Marincola, FC; Schirru, A; Fanos, V",NA,NA,NA,"Dessi, Angelica; Pravettoni, Chiara; Marincola, Flaminia Cesare; Schirru, Andrea; Fanos, Vassilios",NA,NA,"The biomarkers of fetal growth in intrauterine growth retardation and large for gestational age cases: from adipocytokines to a metabolomic all-in-one tool","EXPERT REVIEW OF PROTEOMICS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Adipose tissue is no longer considered as inert; the literature describes the role it plays in the production of many substances, such as adiponectin, visfatin, ghrelin, S100B, apelin, TNF, IL-6 and leptin. These molecules have specific roles in humans and their potential as biomarkers useful for identifying alterations related to intrauterine growth retardation and large for gestational age neonates is emerging. Infants born in such conditions have undergone metabolic changes, such as fetal hypo- or hyperinsulinemia, which may lead to development of dysmetabolic syndrome and other chronic diseases in adulthood. In this review, these biomarkers are analyzed specifically and it is discussed how metabolomics may be an advantageous tool for detection, discrimination and prediction of metabolic alterations and diseases. Thus, a holistic approach, such as metabolomics, could help the prevention and early diagnosis of metabolic syndrome.",NA,NA,NA,"Cesare Marincola, Flaminia/G-3520-2015;","Cesare Marincola, Flaminia/0000-0002-9695-5957; Schirru, Andrea/0000-0001-6524-4303; Dessi, Angelica/0000-0002-1154-2118",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1478-9450","1744-8387",NA,NA,NA,"JUN",2015,"12","3",NA,NA,NA,NA,"309","316",NA,"10.1586/14789450.2015.1034694",NA,NA,NA,NA,NA,"WOS:000354610000008",25843159,1,"1 no 8"
"J","Yoon, MJ; Yoshida, M; Johnson, S; Takikawa, A; Usui, I; Tobe, K; Nakagawa, T; Yoshino, J; Imai, S",NA,NA,NA,"Yoon, Myeong Jin; Yoshida, Mitsukuni; Johnson, Sean; Takikawa, Akiko; Usui, Isao; Tobe, Kazuyuki; Nakagawa, Takashi; Yoshino, Jun; Imai, Shin-ichiro",NA,NA,"SIRT1-Mediated eNAMPT Secretion from Adipose Tissue Regulates Hypothalamic NAD(+) and Function in Mice","CELL METABOLISM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Nicotinamide phosphoribosyltransferase (NAMPT), the key NAD(+) biosynthetic enzyme, has two different forms, intra-and extracellular (iNAMPT and eNAMPT), in mammals. However, the significance of eNAMPT secretion remains unclear. Here we demonstrate that deacetylation of iNAMPT by the mammalian NAD(+)-dependent deacetylase SIRT1 predisposes the protein to secretion in adipocytes. NAMPT mutants reveal that SIRT1 deacetylates lysine 53 (K53) and enhances eNAMPT activity and secretion. Adipose tissue-specific Nampt knockout and knockin (ANKO and ANKI) mice show reciprocal changes in circulating eNAMPT, affecting hypothalamic NAD(+)/SIRT1 signaling and physical activity accordingly. The defect in physical activity observed in ANKO mice is ameliorated by nicotinamide mononucleotide (NMN). Furthermore, administration of a NAMPT-neutralizing antibody decreases hypothalamic NAD(+) production, and treating ex vivo hypothalamic explants with purified eNAMPT enhances NAD(+), SIRT1 activity, and neural activation. Thus, our findings indicate a critical role of adipose tissue as a modulator for the regulation of NAD(+) biosynthesis at a systemic level.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1550-4131","1932-7420",NA,NA,NA,"05-May",2015,"21","5",NA,NA,NA,NA,"706","717",NA,"10.1016/j.cmet.2015.04.002",NA,NA,NA,NA,NA,"WOS:000353978700012",25921090,1,"1 no 9"
"J","Nourbakhsh, M; Nourbakhsh, M; Gholinejad, Z; Razzaghy-Azar, M",NA,NA,NA,"Nourbakhsh, Mitra; Nourbakhsh, Mona; Gholinejad, Zafar; Razzaghy-Azar, Maryam",NA,NA,"Visfatin in obese children and adolescents and its association with insulin resistance and metabolic syndrome","SCANDINAVIAN JOURNAL OF CLINICAL & LABORATORY INVESTIGATION",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Background: Visfatin, also known as nicotinamide phosphoribosyltransferase, is an adipokine that has been implicated in obesity, insulin resistance (IR) and diabetes mellitus. Since obesity profoundly affects serum lipids, insulin, and glucose metabolism, the aim of this study was to evaluate the relationships between visfatin and metabolic parameters in childhood obesity. Methods: A total of 73 Iranian children and adolescents (31 controls; 42 obese), between the ages of 7 and 16 years, were selected and clinically evaluated. Serum visfatin, leptin, insulin and adiponectin were measured using ELISA, and insulin resistance was calculated by the Homeostasis Model of Assessment of Insulin Resistance (HOMA-IR). Fasting plasma glucose (FPG), triglyceride (TG), total cholesterol (TC), LDL-C and HDL-C were also measured. Metabolic syndrome (MetS) was determined according to IDF criteria. Results: Obese subjects presented significantly higher levels of insulin, LDL-C, HOMA-IR, and leptin and lower levels of adiponectin. Serum Visfatin was higher in obese children than in the control children, and it was significantly higher in obese children with MetS or IR, compared with obese children without MetS or IR. Visfatin levels showed positive correlations with FPG, insulin, and HOMA-IR, in obese subjects and a negative correlation with adiponectin, but no correlation with leptin. Adiponectin levels were correlated with HDL-C and Insulin levels in obese subjects. Leptin levels were correlated with Body mass index (BMI) but not with metabolic parameters. Conclusions: Visfatin is increased in obese children and adolescents, and has a more prominent association with IR and MetS parameters, compared with leptin and adiponectin.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0036-5513","1502-7686",NA,NA,NA,"APR",2015,"75","2",NA,NA,NA,NA,"183","188",NA,"10.3109/00365513.2014.1003594",NA,NA,NA,NA,NA,"WOS:000350543700013",25723377,1,"1 no 10"
